date -> 2023-03-06 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['EURUSD', 'SGDUSD']
date -> 2023-03-07 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['EURUSD', 'JPYUSD']
date -> 2023-03-08 00:00:00 weakest-> ['AUDUSD', 'NOKUSD'] strongest-> ['EURUSD', 'BRLUSD']
date -> 2023-03-09 00:00:00 weakest-> ['AUDUSD', 'NOKUSD'] strongest-> ['EURUSD', 'SGDUSD']
date -> 2023-03-10 00:00:00 weakest-> ['AUDUSD', 'NOKUSD'] strongest-> ['BRLUSD', 'EURUSD']
date -> 2023-03-13 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['EURUSD', 'GBPUSD']
date -> 2023-03-14 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['EURUSD', 'GBPUSD']
date -> 2023-03-15 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'EURUSD']
date -> 2023-03-16 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'EURUSD']
date -> 2023-03-17 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'JPYUSD']
date -> 2023-03-20 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['GBPUSD', 'JPYUSD']
date -> 2023-03-21 00:00:00 weakest-> ['BRLUSD', 'NOKUSD'] strongest-> ['JPYUSD', 'GBPUSD']
date -> 2023-03-22 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['JPYUSD', 'GBPUSD']
date -> 2023-03-23 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['JPYUSD', 'EURUSD']
date -> 2023-03-24 00:00:00 weakest-> ['CADUSD', 'NOKUSD'] strongest-> ['EURUSD', 'JPYUSD']
