open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1658707200000,22581.15000000,22666.66000000,21256.59000000,21310.99000000,67339.12012000,1658793599999,1476646693.82164910,1137381,32939.09925000,722335523.09387890,0
1658793600000,21312.69000000,21368.32000000,20707.61000000,21254.24000000,62169.21684000,1658879999999,1306840221.77999000,1002970,30857.55748000,648717689.79169510,0
1658880000000,21257.93000000,23111.83000000,21044.48000000,22960.62000000,87777.13492000,1658966399999,1922267530.84676660,1260604,43992.84959000,963703180.75741990,0
1658966400000,22962.49000000,24200.00000000,22590.00000000,23851.44000000,92840.82642000,1659052799999,2167612869.09903150,1554772,46981.90333000,1096829537.68857060,0
1659052800000,23851.64000000,24454.00000000,23429.82000000,23782.74000000,86322.71346000,1659139199999,2061575962.92556280,1420352,42962.59110000,1026158105.78983660,0
1659139200000,23786.42000000,24678.76000000,23517.26000000,23650.72000000,56760.23050000,1659225599999,1366134201.74182090,986334,27833.03172000,670067126.22898900,0
1659225600000,23650.72000000,24199.53000000,23238.04000000,23303.88000000,44634.75883000,1659311999999,1058291470.58089470,893291,22107.58262000,524278745.33139910,0
1659312000000,23305.73000000,23513.54000000,22850.00000000,23273.19000000,50655.36460000,1659398399999,1175828021.33965280,1046039,25162.15298000,584167587.67021290,0
1659398400000,23272.44000000,23470.02000000,22661.80000000,22990.59000000,56283.41196000,1659484799999,1293123025.11251080,1149631,27671.84863000,635913099.26520390,0
1659484800000,22990.98000000,23650.00000000,22690.00000000,22824.51000000,53735.49689000,1659571199999,1247177932.53897410,1269764,26147.39344000,606989404.79723760,0
1659571200000,22821.95000000,23228.95000000,22400.00000000,22622.15000000,54645.52188000,1659657599999,1249323127.56082840,1176482,26886.10281000,614800208.11776440,0
1659657600000,22623.48000000,23478.98000000,22588.39000000,23312.52000000,54115.38591000,1659743999999,1249950450.27832100,1243672,27182.14004000,627852183.42107860,0
1659744000000,23312.52000000,23355.90000000,22899.40000000,22955.06000000,21370.68627000,1659830399999,495304382.71899050,615935,10584.81693000,245353915.22785310,0
1659830400000,22955.23000000,23406.00000000,22852.34000000,23179.65000000,25719.07049000,1659916799999,593902948.97932360,678280,12850.65349000,296767022.74379760,0
1659916800000,23177.70000000,24248.31000000,23155.90000000,23811.00000000,55354.86866000,1660003199999,1321857640.98220190,1124574,27850.91874000,665017684.10298720,0
1660003200000,23814.88000000,23935.41000000,22860.93000000,23156.56000000,48805.78179000,1660089599999,1141217210.29474310,1132454,24036.17167000,562044090.11934570,0
1660089600000,23157.17000000,24220.00000000,22666.66000000,23959.82000000,73692.64589000,1660175999999,1736551348.53421490,1848690,37084.69813000,873982741.74816540,0
1660176000000,23957.72000000,24930.00000000,23865.17000000,23944.99000000,75302.76845000,1660262399999,1839284988.19166590,2000290,37444.90097000,914789325.53101640,0
1660262400000,23944.99000000,24474.48000000,23597.64000000,24412.73000000,64660.85273000,1660348799999,1550752884.04302210,1506231,32100.20838000,770003612.80314030,0
1660348800000,24412.74000000,24900.00000000,24301.00000000,24452.96000000,50804.78441000,1660435199999,1247405939.97574530,1358218,25269.16868000,620498533.43475560,0
1660435200000,24451.42000000,25060.03000000,24150.91000000,24311.46000000,50140.37995000,1660521599999,1230449459.92035270,1273047,24969.74934000,612905383.69890990,0
1660521600000,24311.38000000,25219.49000000,23776.50000000,24096.85000000,83294.27598000,1660607999999,2023838405.03023790,1934973,41540.38991000,1009572196.08672510,0
1660608000000,24096.89000000,24251.13000000,23670.00000000,23856.10000000,64176.70306000,1660694399999,1537459847.25637960,1373781,31293.77065000,749793198.35478860,0
1660694400000,23855.66000000,24446.66000000,23175.84000000,23344.31000000,80136.85172000,1660780799999,1898194636.30242610,1596507,39506.80821000,935967217.38476730,0
1660780800000,23345.06000000,23599.40000000,23106.33000000,23193.38000000,51259.38545000,1660867199999,1199827425.04095710,1127880,25269.33932000,591502686.50104560,0
1660867200000,23191.57000000,23206.50000000,20784.60000000,20835.00000000,111911.34431000,1660953599999,2434084611.05598650,2114303,54791.12808000,1192055633.74876610,0
1660953600000,20834.32000000,21367.19000000,20761.73000000,21139.07000000,62199.03295000,1661039999999,1315389112.20044150,1191684,30997.16852000,655593663.58615900,0
1661040000000,21138.05000000,21788.00000000,21066.66000000,21514.00000000,54580.26355000,1661126399999,1167283683.18328640,1018307,27960.07449000,597965794.91985210,0
1661126400000,21515.77000000,21549.67000000,20893.95000000,21398.49000000,79893.02781000,1661212799999,1697099496.45271440,1443330,39599.88766000,841215475.12899760,0
1661212800000,21396.74000000,21683.72000000,20887.95000000,21526.15000000,74988.57341000,1661299199999,1604191797.43682160,1403114,37575.35715000,803850399.07355160,0
1661299200000,21526.17000000,21900.00000000,21146.66000000,21366.90000000,61158.26633000,1661385599999,1312693710.55757710,1200364,30328.64933000,651051730.53989210,0
1661385600000,21368.15000000,21818.00000000,21305.00000000,21559.46000000,47954.23985000,1661471999999,1036025893.92812520,1081646,23536.34341000,508513229.20292030,0
1661472000000,21559.31000000,21879.99000000,20106.95000000,20236.09000000,100260.88627000,1661558399999,2120670046.27255430,2109801,49204.06979000,1040969665.72394560,0
1661558400000,20237.90000000,20400.00000000,19790.00000000,20034.33000000,55008.98392000,1661644799999,1106143206.78803720,1332040,27099.39595000,544977598.32034900,0
1661644800000,20034.32000000,20161.01000000,19518.00000000,19557.33000000,49223.92684000,1661731199999,981855673.21480000,1097385,24312.71216000,484985289.74316990,0
1661731200000,19556.41000000,20426.47000000,19550.49000000,20288.18000000,85152.92589000,1661817599999,1704066876.07308700,1365929,42796.41311000,856404748.62874270,0
1661817600000,20287.76000000,20575.74000000,19538.00000000,19812.02000000,112578.97693000,1661903999999,2263493449.73762630,1634487,55837.09923000,1122597920.09833850,0
1661904000000,19812.02000000,20497.00000000,19798.88000000,20046.96000000,107621.11478000,1661990399999,2174074864.33914130,1553068,53795.53110000,1086775214.07032350,0
1661990400000,20048.77000000,20205.06000000,19560.00000000,20131.29000000,90179.05920000,1662076799999,1798849169.30639300,1382699,44223.34622000,882256337.69452030,0
1662076800000,20130.36000000,20442.14000000,19756.76000000,19953.72000000,84594.86457000,1662163199999,1700342811.99093800,1354520,41256.00083000,829359553.00611620,0
1662163200000,19953.72000000,20054.70000000,19653.92000000,19831.91000000,46088.63191000,1662249599999,914074843.79376400,864712,21654.73328000,429529405.86848030,0
1662249600000,19833.20000000,20029.46000000,19585.54000000,20002.19000000,53986.89620000,1662335999999,1069324898.07304420,861260,26576.58680000,526498913.78460900,0
1662336000000,20001.71000000,20058.01000000,19634.00000000,19795.43000000,73744.57479000,1662422399999,1459652636.17067630,975764,36685.28810000,726186560.24440180,0
1662422400000,19795.43000000,20180.00000000,18652.91000000,18790.76000000,114864.91451000,1662508799999,2243846287.34469260,1792036,55941.04045000,1093156023.05134580,0
1662508800000,18789.11000000,19464.80000000,18510.00000000,19293.17000000,125965.84847000,1662595199999,2382362402.42365300,1440447,61753.63694000,1168174576.01506880,0
1662595200000,19293.17000000,19460.30000000,19011.00000000,19321.33000000,88532.34940000,1662681599999,1703412587.18538740,1434165,43996.11646000,846576036.33689340,0
1662681600000,19322.35000000,21619.93000000,19293.42000000,21366.00000000,146365.21397000,1662767999999,3050338440.68299460,2396372,74836.68808000,1559639435.32752200,0
1662768000000,21366.52000000,21813.88000000,21122.54000000,21653.26000000,104467.28033000,1662854399999,2238516322.38884030,1678892,53174.91196000,1139574586.02323540,0
1662854400000,21653.74000000,21872.00000000,21355.72000000,21834.32000000,112461.26941000,1662940799999,2430235613.86528560,1728045,55977.03140000,1209718886.22772760,0
1662940800000,21834.20000000,22494.42000000,21531.05000000,22398.43000000,166243.29960000,1663027199999,3680615713.92643480,2639016,83867.75905000,1857095284.87642290,0
